smiles_canonical,qm_q_ionizableN,qm_dipole_D,qm_polarizability,qm_homo_lumo_eV,qm_dGsolv_kJmol,qm_dGsolv_head,qm_dGsolv_tail,qm_Ehedup
CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,-0.19567027,6.154,1406.738574,1.18190262,-125.12784600641687,,-144.39588687754116,-495.1339903554961
CCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCC)cc(OCCCCCCCC)c2)cc(OCCCCCCCC)c1,-0.18703073,2.366,1160.427995,1.43059854,-146.88214825485989,,-148.04903418440003,-555.5727023423922
CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2C(=O)NCc2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2C(=O)NCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,-0.18685831,19.288,2087.995452,1.77338978,-241.56023497999269,,-287.5901004730656,-411.9077796902156
CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,-0.19745579,2.407,551.889226,2.63347738,-35.87775311841763,-44.52562944811625,-22.32845719725637,-494.58108639459687
CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,-0.18710619,4.224,638.065416,3.10559253,-47.072487857673394,-44.52562944811625,-36.78627959010835,-501.0158183442801
CCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCCC,-0.06996744,11.518,1011.628604,1.09307235,-131.60902848403208,,-116.17068748052851,-453.8521049247546
CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,-0.18413123,5.039,622.804941,2.7298275,-45.46800116688758,-44.52562944811625,-43.53472963567578,-499.54083892398006
CCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCC,-0.18958442,5.061,492.929062,2.73861467,-46.65878289987766,-36.61915983241686,-25.27256769283188,-486.74830216295305
CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,-0.19451701,4.338,528.465205,2.73587288,-39.61468017264799,-44.52562944811625,-23.23552659018307,-496.57221278126514
CCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,-0.06420128,7.817,988.186744,1.21401124,-127.901426317464,,-116.17068748052851,-440.20953641311814
CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,-0.19775379,4.427,498.122152,2.58914552,-47.59599095931868,-44.52562944811625,-31.815360091550655,-523.0883409714606
