row_id,IAJD_id,family_table,canonical_smiles,predicted_pKa,measured_pKa_v21,family_v21,pka_source
1110,IAJD_143,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,6.43645576095581,6.33,sSS-Nonsym,v21_loo
1111,IAJD_144,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,6.507220562171936,6.51,sSS-Nonsym,v21_loo
1112,IAJD_145,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,6.434421645164489,6.28,sSS-Nonsym,v21_loo
1113,IAJD_146,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,6.5068790752410886,6.59,sSS-Nonsym,v21_loo
1114,IAJD_147,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,6.435183511734008,6.32,sSS-Nonsym,v21_loo
1115,IAJD_148,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,6.505843551826477,6.65,sSS-Nonsym,v21_loo
1116,IAJD_149,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.442860780715941,6.5,sSS-Nonsym,v21_loo
1117,IAJD_150,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.506274731826782,6.65,sSS-Nonsym,v21_loo
1118,IAJD_151,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.440631447792052,6.39,sSS-Nonsym,v21_loo
1119,IAJD_152,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.5064632017135615,6.65,sSS-Nonsym,v21_loo
1120,IAJD_153,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.441285811424255,6.42,sSS-Nonsym,v21_loo
1121,IAJD_154,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,6.50419727153778,6.48,sSS-Nonsym,v21_loo
1122,IAJD155,G1-Janus-Dendrimer,CCCCCCCCCCCOC1=CC2=CC(OCC(CC)CCCC)=CCCCCCN3C=CC=CC=C4CCCCCN1CCCC(=O)OCCOCCOCCOc1cc(cc(c1OCCOCCOCCOC4)OCCOCCOCCOC(=O)CCC3)C(=O)OC2,7.459207884407477,7.4,G1-Janus-Dendrimer,v21_loo
1123,IAJD156,G1-Janus-Dendrimer,CCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,7.458446685873036,7.43,G1-Janus-Dendrimer,v21_loo
1124,IAJD157,G1-Janus-Dendrimer,CCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,7.458245892052709,7.42,G1-Janus-Dendrimer,v21_loo
1125,IAJD158,G1-Janus-Dendrimer,CCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,7.464725093060763,7.38,G1-Janus-Dendrimer,v21_loo
1126,IAJD159,G1-Janus-Dendrimer,CCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)NCC(=C1)C=C4OCCCCCCCCCCC,7.458828913534361,7.4,G1-Janus-Dendrimer,v21_loo
1127,IAJD_161,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,6.388333686039749,6.38,sSS-Nonsym,v21_loo
1128,IAJD_162,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,6.3732908033929725,6.33,sSS-Nonsym,v21_loo
1129,IAJD163,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,6.4358057126998895,6.3,sSS-Nonsym,v21_loo
1130,IAJD164,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,6.495446999740601,6.29,sSS-Nonsym,v21_loo
1131,IAJD167,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,6.436306677818298,6.24,sSS-Nonsym,v21_loo
1132,IAJD169,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,6.447464428901672,6.44,sSS-Nonsym,v21_loo
1133,IAJD_171,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,6.430488072395324,6.16,sSS-Nonsym,v21_loo
1134,IAJD_172,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,6.491862114143371,6.03,sSS-Nonsym,v21_loo
1135,IAJD_173,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,6.431747256278991,5.91,sSS-Nonsym,v21_loo
1136,IAJD_177,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,6.425380574226379,5.9,sSS-Nonsym,v21_loo
1137,IAJD_178,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,6.481811340522766,5.97,sSS-Nonsym,v21_loo
1138,IAJD179,sSS-Nonsym,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,6.383919608701621,6.51,sSS-Nonsym,v21_loo
1139,IAJD180,sSS-Nonsym,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,6.368919541507074,6.49,sSS-Nonsym,v21_loo
1140,IAJD181,sSS-Nonsym,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,6.436437927246093,6.42,sSS-Nonsym,v21_loo
1141,IAJD182,sSS-Nonsym,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,6.503644307327271,6.41,sSS-Nonsym,v21_loo
1142,IAJD183,sSS-Nonsym,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.437542234420776,6.32,sSS-Nonsym,v21_loo
1143,IAJD184,sSS-Nonsym,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.5003616888046265,6.36,sSS-Nonsym,v21_loo
1144,IAJD185,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.4371290311813345,6.3,sSS-Nonsym,v21_loo
1145,IAJD186,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.493652923774719,6.19,sSS-Nonsym,v21_loo
1146,IAJD187,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.439952050209045,6.43,sSS-Nonsym,v21_loo
1147,IAJD188,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.505595930290222,6.46,sSS-Nonsym,v21_loo
1148,IAJD189,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.4398735389709465,6.3,sSS-Nonsym,v21_loo
1149,IAJD190,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.494937952232361,6.35,sSS-Nonsym,v21_loo
1150,IAJD191,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.443356095314025,6.54,sSS-Nonsym,v21_loo
1151,IAJD192,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.501770384979248,6.42,sSS-Nonsym,v21_loo
1152,IAJD193,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.434006153106688,6.34,sSS-Nonsym,v21_loo
1153,IAJD194,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.498834236335754,6.37,sSS-Nonsym,v21_loo
1154,IAJD197,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,6.390324917869649,6.33,sSS-Nonsym,v21_loo
1155,IAJD198,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,6.374969778409824,6.28,sSS-Nonsym,v21_loo
