IAJD_id,family,log10_flux_total,SMILES_canonical,holdout
IAJD129,sSS-Nonsym,8.225309281725863,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,train
IAJD_130,sSS-Nonsym,8.071882007306126,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,
IAJD131,G1-Janus-Dendrimer,8.100370545117563,CCCCCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCCCC)c1,
IAJD_133,sSS-Nonsym,7.045322978786658,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,X3
IAJD134,sSS-Nonsym,7.426511261364575,CCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCC)c1,train
IAJD_135,sSS-Nonsym,7.086359830674748,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,
IAJD_136,sSS-Nonsym,7.017033339298781,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,
IAJD137,sSS-Nonsym,7.549003262025788,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,train
IAJD_138,sSS-Nonsym,7.173186268412274,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,
IAJD139,sSS-Nonsym,8.2718416065365,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,X3
IAJD140,sSS-Nonsym,8.770852011642145,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,train
IAJD_141,sSS-Nonsym,7.313867220369153,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,
IAJD_142,sSS-Nonsym,7.399673721481038,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,
IAJD_143,sSS-Nonsym,7.107209969647869,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,
IAJD_144,sSS-Nonsym,7.143014800254095,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,
IAJD_145,sSS-Nonsym,6.966141732739032,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_146,sSS-Nonsym,7.672097857935717,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_147,sSS-Nonsym,6.965671971220107,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,
IAJD_148,sSS-Nonsym,7.801403710017355,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,
IAJD_149,sSS-Nonsym,7.354108439147401,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,
IAJD_150,sSS-Nonsym,7.540329474790874,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,
IAJD_151,sSS-Nonsym,7.494154594018442,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,
IAJD_152,sSS-Nonsym,7.294466226161593,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,
IAJD_153,sSS-Nonsym,7.865103974641128,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,X3
IAJD_154,sSS-Nonsym,7.378397900948138,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,
IAJD155,G1-Janus-Dendrimer,8.004321373782643,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCC(CC)CCCC)c1,
IAJD156,G1-Janus-Dendrimer,6.765668554759015,CCCCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,
IAJD157,G1-Janus-Dendrimer,7.563481085394411,CCCCCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,
IAJD158,G1-Janus-Dendrimer,7.089905111439398,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,
IAJD159,G1-Janus-Dendrimer,7.836324115706752,CCCCCCCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,
IAJD_161,sSS-Nonsym,7.928395852256714,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,
IAJD_162,sSS-Nonsym,8.307496037913213,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,
IAJD163,sSS-Nonsym,8.278753600952829,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,train
IAJD164,sSS-Nonsym,7.509202522331103,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,train
IAJD167,sSS-Nonsym,7.934498451243567,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,train
IAJD169,sSS-Nonsym,8.32221929473392,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,train
IAJD_171,sSS-Nonsym,7.885361220031512,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_172,sSS-Nonsym,7.833784374656479,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_173,sSS-Nonsym,8.089905111439398,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_177,sSS-Nonsym,7.962842681201242,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD_178,sSS-Nonsym,8.60745502321467,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,
IAJD179,sSS-Nonsym,8.041392685158225,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,train
IAJD180,sSS-Nonsym,8.306762351426826,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,train
IAJD181,sSS-Nonsym,7.544068044350276,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,train
IAJD182,sSS-Nonsym,7.155336037465061,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,X3
IAJD183,sSS-Nonsym,8.041392685158225,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,train
IAJD184,sSS-Nonsym,7.931966114728173,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,train
