iajd_num,smiles,log10_flux_spleen,log10_flux_liver,log10_flux_total,flux_total_SEM,n_replicates,n_mice,pKa,pKa_paper,pKa_sd,audit_status,family,c0_nm_inv,c0_trusted
93,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(CCO)CC1,8.303163596372855,7.916170885700484,8.656950285439562,,1.0,,6.28,6.283333333333334,0.06,,PE-Tris,,
95,CCCCC(CC)COC(=O)CCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCC(=O)OCC(CC)CCCC)c1,,,7.820201459485641,,1.0,3.0,6.33,6.33,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
96,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,,,7.680335513414564,,1.0,3.0,6.32,6.32,,,GA-Tris,,
97,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1OCC(CC)CCCC,7.835634564816176,6.959879450132402,7.915720523073849,36150000.0,1.666666666666667,8.722222222222221,6.479999999999999,6.46,0.04000000000000001,,GA-Tris,,
98,CCCCCCCCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCCCCCC,,,6.313867220369153,,1.0,1.0,6.25,6.25,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
99,CCCCCCCCCCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCCCCCC,,,6.652246341003323,,1.0,1.0,6.31,6.31,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
100,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,,,5.698970004336019,,1.0,,,6.12,,features_FILLED_RDKit2D+3D,PE-Tris,,
101,CCCCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCCCC)(COCCCCCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,,,5.698970004336019,,1.0,,,6.32,,features_FILLED_RDKit2D+3D,PE-Tris,,
105,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.675778341674085,,1.0,3.0,6.5,6.5,,,Dialkoxybenzyl,,
106,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,7.541579243946581,,,,6.32,,,,Dialkoxybenzyl,,
107,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,7.340444114840118,,,,6.42,,,,Dialkoxybenzyl,,
108,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,,,6.984977126415493,,1.0,3.0,6.59,6.59,,,sSS-Nonsym,,
110,CCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCCC,,,7.946943270697825,,,,7.64,7.64,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
111,CCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,,,7.857935264719429,,,,7.58,7.58,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
112,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,8.60530504614111,,1.0,1.0,6.4,6.4,,,sSS-Nonsym,,
113,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.230448921378274,,,,6.52,,,,sSS-Nonsym,,
114,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,6.551449997972875,,,,6.43,,,,sSS-Nonsym,,
115,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,6.661812685537261,,,,6.32,,,,sSS-Nonsym,,
116,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.376576957056512,,,,6.51,,,,sSS-Nonsym,,
117,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,6.936513742478893,,,,6.49,,,,sSS-Nonsym,,
118,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.164352855784437,,,,6.33,,,,sSS-Nonsym,,
119,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,7.914871817540051,,1.0,3.0,6.44,6.44,,,sSS-Nonsym,,
120,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,7.394451680826216,,,,6.37,,,,sSS-Nonsym,,
122,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,7.397940008672037,,,,6.66,,,,sSS-Nonsym,,
123,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.859138297294531,,1.0,1.0,6.61,6.61,,,sSS-Nonsym,,
124,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,7.576341350205793,,,,6.65,,,,sSS-Nonsym,,
125,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,8.332438459915606,,1.0,3.0,6.64,6.64,,,sSS-Nonsym,,
126,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.506505032404872,,,,6.52,,,,sSS-Nonsym,,
127,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,8.02938377768521,,1.0,3.0,6.52,6.52,,,sSS-Nonsym,,
128,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,,,7.742725131304698,,,,6.68,,,,sSS-Nonsym,,
129,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,8.225309281725863,,1.0,1.0,6.49,6.49,,,sSS-Nonsym,,
130,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.071882007306126,,1.0,3.0,6.62,6.62,,,sSS-Nonsym,,
131,CCCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,,,8.100370545117563,,,,7.34,7.34,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
133,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.045322978786658,,1.0,3.0,6.57,6.57,,,sSS-Nonsym,,
134,CCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCC)c1,,,7.426511261364575,,1.0,3.0,7.35,7.35,,"FLAG_10118_disagree:10118 has a different (twin, ~2x mass) structure for this number - identity/numbering unclear; not in pharm Table S1",sSS-Nonsym,,
135,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,7.086359830674748,,1.0,3.0,6.32,6.32,,,sSS-Nonsym,,
136,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,7.017033339298781,,,,6.5,,,,sSS-Nonsym,,
137,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.549003262025788,,1.0,1.0,6.44,6.44,,,sSS-Nonsym,,
138,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.173186268412274,,,,6.62,,,,sSS-Nonsym,,
139,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,8.2718416065365,,1.0,1.0,6.43,6.43,,,sSS-Nonsym,,
140,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,8.770852011642145,,1.0,1.0,6.43,6.43,,,sSS-Nonsym,,
141,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,7.313867220369153,,1.0,3.0,6.56,6.56,,,sSS-Nonsym,,
142,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,7.399673721481038,,1.0,3.0,6.69,6.69,,,sSS-Nonsym,,
143,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,7.107209969647869,,1.0,3.0,6.33,6.33,,,sSS-Nonsym,,
144,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,,,7.143014800254095,,,,6.51,,,,sSS-Nonsym,,
145,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,,,6.966141732739032,,,,6.28,,,,sSS-Nonsym,,
146,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,,,7.672097857935717,,,,6.59,,,,sSS-Nonsym,,
147,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,,,6.965671971220107,,,,6.32,,,,sSS-Nonsym,,
148,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.801403710017355,,,,6.65,,,,sSS-Nonsym,,
149,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.354108439147401,,,,6.5,,,,sSS-Nonsym,,
150,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.540329474790874,,,,6.65,,,,sSS-Nonsym,,
151,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.494154594018442,,,,6.39,,,,sSS-Nonsym,,
152,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.294466226161593,,,,6.65,,,,sSS-Nonsym,,
153,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.865103974641128,,1.0,3.0,6.42,6.42,,,sSS-Nonsym,,
154,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCC)c1,,,7.378397900948138,,,,6.48,,,,sSS-Nonsym,,
155,CCCCCCCCCCCOC1=CC2=CC(OCC(CC)CCCC)=CCCCCCN3C=CC=CC=C4CCCCCN1CCCC(=O)OCCOCCOCCOc1cc(cc(c1OCCOCCOCCOC4)OCCOCCOCCOC(=O)CCC3)C(=O)OC2,,,8.004321373782643,,,,7.4,7.4,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
156,CCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,,,6.765668554759015,,,,7.43,7.43,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
157,CCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,,,7.563481085394411,,,,7.42,7.42,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
158,CCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,,,7.089905111439398,,,,7.38,7.38,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
159,CCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)NCC(=C1)C=C4OCCCCCCCCCCC,,,7.836324115706752,,,,7.4,7.4,,features_FILLED_RDKit2D+3D,G1-Janus-Dendrimer,,
161,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,7.928395852256714,,1.0,3.0,6.38,6.38,,,sSS-Nonsym,,
162,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.307496037913213,,1.0,3.0,6.33,6.33,,,sSS-Nonsym,,
163,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,8.278753600952829,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
164,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.509202522331103,,1.0,1.0,6.29,6.29,,,sSS-Nonsym,,
167,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,7.934498451243567,,1.0,1.0,6.24,6.24,,,sSS-Nonsym,,
169,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,8.32221929473392,,1.0,1.0,6.44,6.44,,,sSS-Nonsym,,
171,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,,,7.885361220031512,,1.0,3.0,6.16,6.16,,,sSS-Nonsym,,
172,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,,,7.833784374656479,,,,6.03,,,,sSS-Nonsym,,
173,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,,,8.089905111439398,,1.0,3.0,5.91,5.91,,,sSS-Nonsym,,
177,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCC)c1,,,7.962842681201242,,1.0,3.0,5.9,5.9,,,sSS-Nonsym,,
178,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCC)c1,7.718501688867274,7.998259338423699,8.60745502321467,,1.0,3.0,5.97,5.97,,,sSS-Nonsym,,
179,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,8.041392685158225,,1.0,1.0,6.51,6.51,,,sSS-Nonsym,,
180,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.306762351426826,,1.0,2.0,6.49,6.49,,,sSS-Nonsym,,
181,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.544068044350276,,1.0,1.0,6.42,6.42,,,sSS-Nonsym,,
182,CCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.155336037465061,,1.0,1.0,6.41,6.41,,,sSS-Nonsym,,
183,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,8.041392685158225,,1.0,1.0,6.32,6.32,,,sSS-Nonsym,,
184,CCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,7.931966114728173,,1.0,1.0,6.36,6.36,,,sSS-Nonsym,,
185,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,7.146128035678238,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
186,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,8.181843587944773,,1.0,1.0,6.19,6.19,,,sSS-Nonsym,,
187,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,7.791690649020118,,1.0,1.0,6.43,6.43,,,sSS-Nonsym,,
188,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,7.795184589682424,,1.0,1.0,6.46,6.46,,,sSS-Nonsym,,
189,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,7.589905111439398,,1.0,2.0,6.3,6.3,,,sSS-Nonsym,,
190,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,7.793785894466646,,1.0,2.0,6.35,6.35,,,sSS-Nonsym,,
191,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,8.068185861746162,,1.0,1.0,6.54,6.54,,,sSS-Nonsym,,
192,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,7.636487896353366,,1.0,1.0,6.42,6.42,,,sSS-Nonsym,,
193,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,,,8.64640372622307,,1.0,1.0,6.34,6.34,,,sSS-Nonsym,,
194,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,,,8.56702636615906,,1.0,1.0,6.37,6.37,,,sSS-Nonsym,,
197,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,7.814913181275074,,1.0,1.0,6.33,6.33,,,sSS-Nonsym,,
198,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.269512944217917,,1.0,1.0,6.28,6.28,,,sSS-Nonsym,,
199,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.633468455579586,,1.0,1.0,6.41,6.41,,,sSS-Nonsym,,
200,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.814589568803282,,1.0,2.0,6.17,6.17,,,sSS-Nonsym,,
201,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,7.618048096712092,,1.0,1.0,6.27,6.27,,,sSS-Nonsym,,
202,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,7.66086547800387,,1.0,1.0,6.24,6.24,,,sSS-Nonsym,,
203,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,,,8.594392550375426,,1.0,1.0,6.35,6.35,,,sSS-Nonsym,,
204,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,,,7.613841821876069,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
205,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,8.660865478003869,,1.0,1.0,6.27,6.27,,,sSS-Nonsym,,
206,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,,,7.683947130751513,,1.0,1.0,6.28,6.28,,,sSS-Nonsym,,
207,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCC)c1,,,7.26245108973043,,1.0,1.0,6.14,6.14,,,sSS-Nonsym,,
208,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,7.423245873936808,,1.0,1.0,6.2,6.2,,,sSS-Nonsym,,
209,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,7.544068044350276,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
210,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.619093330626742,,1.0,1.0,6.19,6.19,,,sSS-Nonsym,,
211,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,8.103803720955957,,1.0,1.0,6.1,6.1,,,sSS-Nonsym,,
212,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,7.880813592280791,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
213,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,8.462397997898956,,1.0,1.0,6.05,6.05,,,sSS-Nonsym,,
214,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.068185861746161,,1.0,1.0,6.23,6.23,,,sSS-Nonsym,,
215,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,,,8.176091259055681,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
216,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,8.56702636615906,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
217,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,8.172677061571065,,1.0,2.0,6.2,6.2,,,sSS-Nonsym,,
218,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,7.811575005870593,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
219,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.705863712283919,,1.0,1.0,6.35,6.35,,,sSS-Nonsym,,
220,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,8.060697840353612,,1.0,1.0,6.26,6.26,,,sSS-Nonsym,,
221,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,7.963196950134841,,1.0,2.0,6.22,6.22,,,sSS-Nonsym,,
222,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.064457989226918,,1.0,1.0,6.39,6.39,,,sSS-Nonsym,,
223,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.734799829588847,,1.0,1.0,6.46,6.46,,,sSS-Nonsym,,
224,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,8.064457989226918,,1.0,1.0,6.33,6.33,,,sSS-Nonsym,,
225,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,7.505149978319906,,1.0,1.0,6.36,6.36,,,sSS-Nonsym,,
226,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,7.17897694729317,,1.0,1.0,6.46,6.46,,,sSS-Nonsym,,
227,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,7.117271295655764,,1.0,1.0,6.49,6.49,,,sSS-Nonsym,,
228,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,,,7.139879086401237,,1.0,1.0,6.56,6.56,,,sSS-Nonsym,,
229,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,7.620136054973758,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
230,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,,,8.225309281725863,,1.0,1.0,6.3,6.3,,,sSS-Nonsym,,
231,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.68304703823885,,1.0,1.0,5.95,5.95,,,sSS-Nonsym,,
232,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,,,7.974216264076254,,1.0,2.0,6.28,6.28,,,sSS-Nonsym,,
233,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,,,7.991669007379948,,1.0,1.0,6.31,6.31,,,sSS-Nonsym,,
234,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCC)c1,,,7.399673721481038,,1.0,1.0,6.35,6.35,,,sSS-Nonsym,,
